timestamp,open,high,low,close,volume
2023-12-29 19:55:00,163.5000,163.5000,163.3100,163.3100,65
2023-12-29 19:50:00,163.3900,163.6400,163.3900,163.5000,152
2023-12-29 19:40:00,163.3000,163.5000,163.3000,163.5000,101
2023-12-29 19:30:00,163.3000,163.3000,163.3000,163.3000,5
2023-12-29 19:25:00,163.3000,163.3000,163.3000,163.3000,1
2023-12-29 19:20:00,163.3500,163.3500,163.3000,163.3000,46
2023-12-29 19:15:00,163.3900,163.3900,163.3200,163.3300,82
2023-12-29 19:10:00,163.4000,163.4000,163.4000,163.4000,1
2023-12-29 19:05:00,163.4000,163.4000,163.4000,163.4000,2
2023-12-29 19:00:00,163.5500,163.5500,163.3900,163.4000,689835
2023-12-29 18:45:00,163.4000,163.4000,163.4000,163.4000,5
2023-12-29 18:30:00,163.5500,163.5500,163.5500,163.5500,689832
2023-12-29 18:20:00,163.2700,163.4000,163.2700,163.4000,30
2023-12-29 18:15:00,163.2700,163.2700,163.2700,163.2700,6
2023-12-29 18:10:00,163.2600,163.2600,163.2600,163.2600,44
2023-12-29 17:55:00,163.4700,163.4700,163.2500,163.2500,6
2023-12-29 17:45:00,163.2500,163.2500,163.2500,163.2500,1
2023-12-29 17:35:00,163.2300,163.2300,163.2300,163.2300,1
2023-12-29 17:30:00,163.2400,163.2400,163.2300,163.2300,4
2023-12-29 17:25:00,163.3000,163.3000,163.2400,163.2400,53
2023-12-29 17:20:00,163.5500,163.5500,163.4700,163.4700,9
2023-12-29 17:15:00,155.4430,163.2880,155.4430,163.2880,10
2023-12-29 17:05:00,163.4900,163.4900,163.4900,163.4900,3
2023-12-29 16:50:00,163.4900,163.4900,163.4900,163.4900,11
2023-12-29 16:45:00,163.3000,163.3000,163.2300,163.2300,114
2023-12-29 16:40:00,163.3100,163.3100,163.2300,163.2300,55
2023-12-29 16:35:00,163.3100,163.3100,163.3000,163.3000,57
2023-12-29 16:30:00,163.2300,163.2300,163.2300,163.2300,55
2023-12-29 16:20:00,163.5500,163.5500,163.3000,163.3100,661
2023-12-29 16:15:00,163.5500,163.5500,163.3000,163.3000,16
2023-12-29 16:10:00,163.5500,163.5500,163.5500,163.5500,689862
2023-12-29 16:05:00,163.2900,163.5500,163.1900,163.2300,28657
2023-12-29 16:00:00,163.5900,163.5900,163.1300,163.5500,1475021
2023-12-29 15:55:00,163.3800,163.6800,163.3100,163.5900,228827
2023-12-29 15:50:00,163.3800,163.6200,163.3200,163.4400,94735
2023-12-29 15:45:00,163.4600,163.5400,163.3500,163.3600,39229
2023-12-29 15:40:00,163.5400,163.5900,163.4700,163.4700,25691
2023-12-29 15:35:00,163.4800,163.5350,163.4600,163.5350,28898
2023-12-29 15:30:00,163.5700,163.5800,163.4700,163.5000,28941
2023-12-29 15:25:00,163.4800,163.5700,163.4400,163.5600,19098
2023-12-29 15:20:00,163.4490,163.5010,163.3750,163.4800,16266
2023-12-29 15:15:00,163.5300,163.5500,163.4200,163.4300,22254
2023-12-29 15:10:00,163.5300,163.5700,163.4500,163.5560,18451
2023-12-29 15:05:00,163.3300,163.5230,163.3300,163.5200,22948
2023-12-29 15:00:00,163.3900,163.4300,163.3100,163.3100,12975
2023-12-29 14:55:00,163.3950,163.4300,163.3700,163.3850,17618
2023-12-29 14:50:00,163.3200,163.4200,163.3100,163.3850,14438
2023-12-29 14:45:00,163.3000,163.3770,163.2800,163.3200,17156
2023-12-29 14:40:00,163.3200,163.3500,163.2700,163.3000,32483
2023-12-29 14:35:00,163.3200,163.3550,163.3000,163.3200,11747
2023-12-29 14:30:00,163.2900,163.3480,163.2900,163.3190,17967
2023-12-29 14:25:00,163.3550,163.3600,163.2800,163.2800,23132
2023-12-29 14:20:00,163.2800,163.3400,163.2600,163.3400,14387
2023-12-29 14:15:00,163.2400,163.2890,163.2350,163.2700,13612
2023-12-29 14:10:00,163.2190,163.2900,163.2100,163.2500,11047
2023-12-29 14:05:00,163.1950,163.2300,163.1800,163.2200,10879
2023-12-29 14:00:00,163.2200,163.2800,163.1700,163.2000,25043
2023-12-29 13:55:00,163.2200,163.2600,163.1650,163.1900,12356
2023-12-29 13:50:00,163.2010,163.2700,163.1900,163.2300,17170
2023-12-29 13:45:00,163.1800,163.2100,163.1300,163.2080,11401
2023-12-29 13:40:00,163.1050,163.2100,163.0900,163.1900,14758
2023-12-29 13:35:00,163.0600,163.1200,163.0500,163.1100,11067
2023-12-29 13:30:00,163.0400,163.1010,163.0400,163.0600,9367
2023-12-29 13:25:00,163.0200,163.0600,163.0000,163.0200,13022
2023-12-29 13:20:00,163.0200,163.1100,162.9870,163.0200,7894
2023-12-29 13:15:00,163.1300,163.1400,163.0350,163.0700,14550
2023-12-29 13:10:00,163.1900,163.2100,163.1100,163.1100,17718
2023-12-29 13:05:00,163.1400,163.2200,163.1400,163.2200,17192
2023-12-29 13:00:00,163.0500,163.1500,163.0200,163.1300,11102
2023-12-29 12:55:00,162.9700,163.0900,162.9700,163.0500,14502
2023-12-29 12:50:00,162.9400,163.0100,162.9400,162.9800,9622
2023-12-29 12:45:00,162.9900,163.0300,162.9400,162.9500,13520
